id,Studio,Slug
3583,Active Duty,active-duty
4344,Adult Time,adult-time
4109,Alternadudes,alternadudes
5448,ASGmax,asgmax
5060,Bear Films,bear-films
7150,BelAmi,belami
3641,Bentley Race,bentley-race
5463,Blacks On Boys,blacks-on-boys
5110,Boy For Sale,boy-for-sale
5722,Broke Straight Boys,broke-straight-boys
3869,Bromo,bromo
7261,Brother Crush,brother-crush
3787,Chaos Men,chaos-men
6756,Club Inferno,club-inferno
6232,Club Inferno Dungeon,club-inferno-dungeon
3586,Cocky Boys,cocky-boys
5864,Corbin Fisher,corbin-fisher
5885,Cum Dump Sluts,cum-dump-sluts
6169,Cum Pig Men,cum-pig-men
6591,Czech Hunter,czech-hunter
3717,Disruptive Films,disruptive-films
3941,Dudes Raw,dudes-raw
4232,East Boys,east-boys
3697,Extra Big Dicks,extra-big-dicks
3709,Falcon Studios,falcon-studios
3616,Family Creep,family-creep-2
5189,Family Dick,family-dick
3772,Fetish Force,fetish-force
4037,Fisting Central,fisting-central
3882,Fisting Inferno,fisting-inferno
3686,Freshmen,freshmen
5067,Fun Size Boys,fun-size-boys
3723,Guys In Sweatpants,guys-in-sweatpants
3809,Hot House,hot-house
5461,Hung Young Brit,hung-young-brit
4052,Japan Boyz,japan-boyz
4748,KINK MEN,kink-men
5234,Latin Leche,latin-leche
3561,Lucas Entertainment,lucas-entertainment
3896,Maskurbate,maskurbate
4425,Masonic Boys,masonic-boys
3970,MEN,men
4030,Men At Play,men-at-play
3873,Men Over 30,men-over-30
3836,Naked Sword,naked-sword
3549,Next Door Studios,next-door-studios
3607,Next Door Taboo,next-door-taboo
6491,Noir Male,noir-male
3761,Peter Fever,peter-fever
3700,Pride Studios,pride-studios
4753,Real Men Fuck,real-men-fuck
3995,Rod's Room,rods-room
5178,Say Uncle,say-uncle
4408,Scout Boys,scout-boys
3554,Sean Cody,sean-cody
6717,Sketchy Sex,sketchy-sex
5411,Squirt Studios,squirt-studios
4790,The Bro Network,the-bro-network
4018,Tim Tales,tim-tales
5517,Trailer Trash Boys,trailer-trash-boys
4094,Treasure Island Media,treasure-island-media
4160,WuBoyz,wuboyz
